Artists,Name,Genre,Saxophone,Trumpet,Clarinet,Music Sheet
https://www.notion.so/Billie-Holiday-75b703c5a0b14a75a72787a31ff8b0ca,All of Me,https://www.notion.so/Jazz-32e8dda17a4f4e62a337b59f571c39e6,No,No,No,
https://www.notion.so/Dorothy-Donegan-d77012aefdc94b499169c6ca3e6afa89,I Just Want To Sing,https://www.notion.so/Jazz-32e8dda17a4f4e62a337b59f571c39e6,No,No,No,
https://www.notion.so/Duke-Ellington-470025fcd12d4c03acc5ebc43b69b5fd,Isfahan,"https://www.notion.so/Jazz-32e8dda17a4f4e62a337b59f571c39e6, https://www.notion.so/Instrumental-76f2785297a241049921202b19428dcb",No,No,No,
https://www.notion.so/Duke-Ellington-470025fcd12d4c03acc5ebc43b69b5fd,"Take the ""A"" Train","https://www.notion.so/Jazz-32e8dda17a4f4e62a337b59f571c39e6, https://www.notion.so/Instrumental-76f2785297a241049921202b19428dcb",No,Yes,No,
"https://www.notion.so/Ella-Fitzagerald-aadbb423fdea467ab6767e2c49234539, https://www.notion.so/Lous-Armstrong-a238df46eff84089a588f73f8851b16b",Dream A Little Dream Of Me,https://www.notion.so/Jazz-32e8dda17a4f4e62a337b59f571c39e6,No,Yes,No,
"https://www.notion.so/Ella-Fitzagerald-aadbb423fdea467ab6767e2c49234539, https://www.notion.so/Lous-Armstrong-a238df46eff84089a588f73f8851b16b",Under A Blanket Of Blue,https://www.notion.so/Jazz-32e8dda17a4f4e62a337b59f571c39e6,No,No,No,
https://www.notion.so/Etta-James-3ef26d1be77b4d3dacaeb5b449a16932,At Last,"https://www.notion.so/Soul-f4827c563abc41cea8e2408771799c9a, https://www.notion.so/R-B-a9cdd3664d544ae7b6a852fa25346174, https://www.notion.so/Rock-9de50684c8084a9ca881e9d8c53f413b, https://www.notion.so/Pop-370d321c153a4b1885b014df70213863, https://www.notion.so/Blues-dfb6191606f74b9285f1291aec0c31ec, https://www.notion.so/Jazz-32e8dda17a4f4e62a337b59f571c39e6",No,No,No,
https://www.notion.so/Frank-Sinatra-3b64e33c36d5424b863ce4d03849e2e6,Come Fly With Me,https://www.notion.so/Jazz-32e8dda17a4f4e62a337b59f571c39e6,No,No,No,
https://www.notion.so/Frank-Sinatra-3b64e33c36d5424b863ce4d03849e2e6,Fly Me To The Moon,https://www.notion.so/Pop-370d321c153a4b1885b014df70213863,No,No,No,
https://www.notion.so/Frank-Sinatra-3b64e33c36d5424b863ce4d03849e2e6,My Way,https://www.notion.so/Pop-370d321c153a4b1885b014df70213863,No,No,No,
https://www.notion.so/Frank-Sinatra-3b64e33c36d5424b863ce4d03849e2e6,The Way You Look Tonight,https://www.notion.so/Pop-370d321c153a4b1885b014df70213863,No,No,No,
